Depth(m)	Voltage(V)	Current(mA)	# Counts
0.025	1.024216	6.828107	20340
0.050	1.130616	7.537438	22453
0.075	1.095216	7.301442	21750
0.100	0.885640	5.904265	17588
0.125	1.104834	7.365560	21941
0.150	1.053271	7.021806	20917
0.175	1.101611	7.344076	21877
0.200	1.181424	7.876158	23462
0.225	1.237821	8.252139	24582
0.250	1.055688	7.037918	20965
0.275	1.170094	7.800626	23237
0.300	2.176635	14.510901	43226
0.325	2.087205	13.914702	41450
0.350	2.104125	14.027496	41786
0.375	2.259670	15.064469	44875
0.400	2.106542	14.043612	41834
0.425	2.083982	13.893216	41386
0.450	2.126683	14.177891	42234
0.475	2.058956	13.726376	40889
0.500	2.291898	15.279316	45515
0.525	2.215358	14.769054	43995
0.550	2.204884	14.699228	43787
0.575	2.051755	13.678370	40746
0.600	2.427301	16.182011	48204
0.625	2.101707	14.011383	41738
0.650	2.339432	15.596216	46459
0.675	2.370048	15.800321	47067
0.700	0.865498	5.769985	17188
0.725	0.682559	4.550393	13555
0.750	0.740618	4.937453	14708
0.775	0.706729	4.711528	14035
0.800	0.922701	6.151339	18324
0.825	0.701895	4.679301	13939
0.850	0.721231	4.808209	14323
0.875	0.976681	6.511208	19396
0.900	0.896164	5.974425	17797
0.925	0.720426	4.802838	14307
0.950	0.829242	5.528283	16468
0.975	0.898531	5.990203	17844
1.000	0.595496	3.969970	11826
1.025	0.895308	5.968719	17780
1.050	0.959007	6.393378	19045
1.075	0.752653	5.017685	14947
1.100	0.871138	5.807584	17300
1.125	0.878389	5.855925	17444
1.150	0.688199	4.587991	13667
