Depth(m),Voltage(V),Current(mA),# Counts
0.025,0.886445,5.909636,17604
0.05,0.938814,6.258762,18644
0.075,1.023461,6.823071,20325
0.1,1.143557,7.623713,22710
0.125,1.132227,7.54818,22485
0.15,0.989572,6.597146,19652
0.175,0.933175,6.221164,18532
0.2,0.913838,6.092256,18148
0.225,0.896919,5.979461,17812
0.25,0.90417,6.027802,17956
0.275,0.813078,5.420523,16147
0.3,0.97507,6.500465,19364
0.325,0.897725,5.984832,17828
0.35,0.893696,5.957976,17748
0.375,1.120192,7.467947,22246
0.4,0.985594,6.570626,19573
0.425,1.052465,7.016434,20901
0.45,0.894502,5.963347,17764
0.475,1.038769,6.925124,20629
0.5,1.136255,7.575036,22565
0.525,0.979098,6.527321,19444
0.55,1.121753,7.478355,22277
0.575,0.817912,5.45275,16243
0.6,0.842133,5.614222,16724
0.625,0.926729,6.178195,18404
0.65,0.896919,5.979461,17812
0.675,0.965402,6.436011,19172
0.7,0.889668,5.93112,17668
0.725,0.93962,6.264134,18660
0.75,0.935592,6.237278,18580
0.775,1.047631,6.984207,20805
0.8,0.924312,6.162082,18356
0.825,1.01057,6.737132,20069
0.85,0.842133,5.614222,16724
0.875,0.961424,6.409491,19093
0.9,0.951705,6.344701,18900
0.925,0.972703,6.484687,19317
0.95,1.017015,6.780102,20197
0.975,1.08152,7.210132,21478
1,0.965452,6.436347,19173
1.025,1.1,7.333333,21845
1.05,1.005736,6.704906,19973
1.075,1.045214,6.968094,20757
1.1,0.96943,6.462867,19252
1.125,0.829242,5.528283,16468
1.15,1.04602,6.973464,20773
1.175,0.898531,5.990203,17844
1.2,1.017821,6.785473,20213
1.225,0.809856,5.399038,16083
1.25,0.718814,4.792096,14275
1.275,0.80341,5.35607,15955
1.3,0.763127,5.08751,15155
1.325,1.030712,6.871412,20469
1.35,0.741373,4.942489,14723
1.375,1.020238,6.801587,20261
1.4,0.972653,6.484352,19316
1.425,1.185402,7.902678,23541
1.45,0.987155,6.581033,19604
1.475,1.13545,7.569664,22549
1.5,0.841327,5.60885,16708
1.525,0.935592,6.237278,18580
1.55,1.083081,7.220539,21509
1.575,1.063745,7.09163,21125
1.6,1.00493,6.699535,19957
1.625,0.884834,5.898894,17572
1.65,0.781657,5.211047,15523
1.675,0.845356,5.635706,16788
1.7,0.69545,4.636332,13811
1.725,0.962985,6.419898,19124
1.75,0.672085,4.480567,13347
1.775,0.747013,4.980087,14835
1.8,0.995212,6.634745,19764
1.825,1.025022,6.833478,20356
1.85,0.78493,5.232868,15588
1.875,1.048437,6.989578,20821
1.9,1.01057,6.737132,20069
1.925,1.204788,8.031921,23926
