Depth(m),Voltage(V),Current(mA),# Counts
0.025,2.263699,15.091325,44955
0.050,2.028391,13.522606,40282
0.075,2.203223,14.688151,43754
0.100,2.044504,13.630030,40602
0.125,2.101707,14.011383,41738
0.150,2.404742,16.031616,47756
0.175,2.202467,14.683117,43739
0.200,2.182326,14.548838,43339
0.225,2.405498,16.036652,47771
0.250,2.308011,15.386740,45835
0.275,2.229810,14.865400,44282
0.300,2.316873,15.445822,46011
0.325,2.164550,14.430335,42986
0.350,2.067063,13.780421,41050
0.375,2.193605,14.624032,43563
0.400,2.046921,13.646143,40650
0.425,2.054173,13.694484,40794
0.450,2.137963,14.253086,42458
0.475,1.868817,12.458777,37113
0.500,1.712465,11.416434,34008
0.525,1.636732,10.911543,32504
0.550,1.702042,11.346944,33801
0.575,1.522275,10.148501,30231
0.600,1.573083,10.487220,31240
0.625,1.393367,9.289112,27671
0.650,1.454598,9.697322,28887
0.675,1.509384,10.062562,29975
0.700,1.525498,10.169986,30295
0.725,1.434456,9.563043,28487
0.750,1.523886,10.159244,30263
0.775,1.484459,9.896392,29480
0.800,1.262797,8.418647,25078
0.825,1.621424,10.809491,32200
0.850,1.992941,13.286274,39578
0.875,1.810808,12.072053,35961
0.900,1.648817,10.992110,32744
0.925,1.810758,12.071718,35960
0.950,1.810808,12.072053,35961
0.975,1.917157,12.781048,38073
1.000,1.884930,12.566201,37433
1.025,1.885736,12.571571,37449
1.050,1.108862,7.392416,22021
1.075,1.250712,8.338078,24838
1.100,1.435262,9.568414,28503
1.125,1.610950,10.739666,31992
1.150,1.876068,12.507118,37257
1.175,1.770474,11.803159,35160
1.200,1.630286,10.868574,32376
1.225,1.966303,13.108689,39049
1.250,2.180714,14.538095,43307
1.275,1.965548,13.103655,39034
1.300,1.797917,11.986115,35705
1.325,1.421566,9.477103,28231
1.350,1.399812,9.332082,27799
1.375,1.535972,10.239811,30503
1.400,1.473935,9.826230,29271
1.425,1.569810,10.465401,31175
1.450,1.662513,11.083421,33016
1.475,1.622229,10.814862,32216
1.500,1.573838,10.492256,31255
1.525,2.025168,13.501122,40218
1.550,1.982467,13.216450,39370
1.575,2.050950,13.672998,40730
1.600,1.919574,12.797161,38121
1.625,0.812323,5.415488,16132
1.650,0.868720,5.791470,17252
1.675,0.750236,5.001572,14899
1.700,0.934031,6.226871,18549
1.725,0.938009,6.253391,18628
1.750,0.944504,6.296696,18757
1.775,1.043603,6.957351,20725
1.800,0.936397,6.242650,18596
1.825,0.817963,5.453086,16244
1.850,1.096777,7.311848,21781
1.875,1.210428,8.069520,24038
1.900,1.008153,6.721019,20021
1.925,0.805827,5.372183,16003
1.950,0.803461,5.356405,15956
1.975,0.996068,6.640451,19781
2.000,0.844550,5.630334,16772
2.025,0.957395,6.382635,19013
2.050,0.920284,6.135226,18276
2.075,1.105690,7.371267,21958
2.100,0.842939,5.619593,16740
2.125,0.983177,6.554513,19525
2.150,0.776873,5.179156,15428
2.175,0.876777,5.845181,17412
2.200,0.993651,6.624338,19733
