Depth(m),Voltage(V),Current(mA),# Counts
0.025,2.383745,15.891631,47339
0.050,2.338627,15.590845,46443
0.075,2.129906,14.199373,42298
0.100,2.385356,15.902373,47371
0.125,2.279812,15.198749,45275
0.150,2.635216,17.568110,52333
0.175,2.417633,16.117556,48012
0.200,2.341849,15.612329,46507
0.225,2.151659,14.344397,42730
0.250,2.565928,17.106186,50957
0.275,2.362847,15.752316,46924
0.300,2.569956,17.133041,51037
0.325,2.259670,15.064469,44875
0.350,2.142797,14.285313,42554
0.375,2.009004,13.393363,39897
0.400,2.070286,13.801908,41114
0.425,1.941327,12.942183,38553
0.450,1.906683,12.711224,37865
0.475,1.971943,13.146287,39161
0.500,2.073509,13.823392,41178
0.525,1.525498,10.169986,30295
0.550,1.634264,10.895095,32455
0.575,1.755216,11.701442,34857
0.600,1.865594,12.437292,37049
0.625,1.239432,8.262882,24614
0.650,1.232987,8.219913,24486
0.675,1.429622,9.530815,28391
0.700,1.548107,10.320714,30744
0.725,1.699574,11.330496,33752
0.750,1.527109,10.180728,30327
0.775,1.358672,9.057817,26982
0.800,1.515024,10.100161,30087
0.825,1.789860,11.932403,35545
0.850,1.888153,12.587687,37497
0.875,1.692323,11.282155,33608
0.900,1.698769,11.325124,33736
0.925,1.876068,12.507118,37257
0.950,1.954218,13.028122,38809
0.975,1.912323,12.748821,37977
1.000,1.898627,12.657512,37705
1.025,1.304692,8.697948,25910
1.050,1.263653,8.424354,25095
1.075,1.126587,7.510582,22373
1.100,1.160426,7.736172,23045
1.125,1.656873,11.045822,32904
1.150,1.831756,12.211703,36377
1.175,1.824504,12.163363,36233
1.200,1.730190,11.534599,34360
1.225,2.233083,14.887220,44347
1.250,2.063841,13.758937,40986
1.275,2.014644,13.430961,40009
1.300,2.158105,14.387365,42858
1.325,1.961469,13.076463,38953
1.350,1.668959,11.126390,33144
1.375,1.401373,9.342488,27830
1.400,1.493271,9.955138,29655
1.425,1.631041,10.873610,32391
1.450,1.634264,10.895095,32455
1.475,1.899432,12.662882,37721
1.500,1.784221,11.894804,35433
1.525,1.890570,12.603800,37545
1.550,2.068675,13.791163,41082
1.575,2.079149,13.860990,41290
1.600,2.003365,13.355763,39785
1.625,0.775262,5.168414,15396
1.650,0.875972,5.839811,17396
1.675,0.762321,5.082139,15139
1.700,0.771183,5.141222,15315
1.725,0.714786,4.765240,14195
1.750,0.866304,5.775357,17204
1.775,0.917867,6.119112,18228
1.800,0.775212,5.168078,15395
1.825,1.090382,7.269215,21654
1.850,0.865498,5.769985,17188
1.875,1.068579,7.123857,21221
1.900,1.156448,7.709651,22966
1.925,0.863886,5.759243,17156
1.950,0.769622,5.130816,15284
1.975,0.936448,6.242985,18597
2.000,0.705924,4.706157,14019
2.025,0.946116,6.307438,18789
2.050,0.822797,5.485313,16340
2.075,0.918672,6.124483,18244
2.100,0.798576,5.323842,15859
2.125,0.785685,5.237903,15603
2.150,0.900142,6.000946,17876
2.175,1.074218,7.161455,21333
2.200,0.946921,6.312809,18805
