Depth(m),Voltage(V),Current(mA),# Counts
0.025,3.198485,21.323233,63519
0.050,3.177537,21.183578,63103
0.075,3.085639,20.570929,61278
0.100,3.046967,20.313116,60510
0.125,3.163841,21.092270,62831
0.150,3.132419,20.882795,62207
0.175,3.104221,20.694805,61647
0.200,3.166258,21.108385,62879
0.225,3.103415,20.689434,61631
0.250,3.224266,21.495110,64031
0.275,3.187205,21.248035,63295
0.300,3.235546,21.570307,64255
0.325,3.186400,21.242664,63279
0.350,3.231518,21.543451,64175
0.375,3.263745,21.758297,64815
0.400,3.269384,21.795893,64927
0.425,3.192845,21.285633,63407
0.450,3.150950,21.006332,62575
0.475,3.142087,20.947248,62399
0.500,3.196068,21.307119,63471
0.525,3.193650,21.291002,63423
0.550,3.158201,21.054672,62719
0.575,3.110666,20.737774,61775
0.600,3.165452,21.103012,62863
0.625,2.784266,18.561773,55293
0.650,3.066354,20.442358,60895
0.675,2.892277,19.281849,57438
0.700,2.934173,19.561152,58270
0.725,2.839052,18.927017,56381
0.750,2.793129,18.620859,55469
0.775,2.820522,18.803478,56013
0.800,2.946258,19.641718,58510
0.825,2.671421,17.809477,53052
0.850,2.674644,17.830961,53116
0.875,2.764930,18.432867,54909
0.900,2.613413,17.422750,51900
0.925,2.693225,17.954832,53485
0.950,2.701282,18.008545,53645
0.975,2.627915,17.519430,52188
1.000,2.572323,17.148821,51084
1.025,2.219336,14.795574,44074
1.050,2.159716,14.398108,42890
1.075,2.424884,16.165895,48156
1.100,2.126683,14.177891,42234
1.125,2.395024,15.966826,47563
1.150,2.316873,15.445822,46011
1.175,2.479671,16.531136,49244
1.200,2.240284,14.935225,44490
1.225,2.059812,13.732081,40906
1.250,1.972749,13.151660,39177
1.275,1.764028,11.760190,35032
1.300,1.740664,11.604425,34568
1.325,1.782559,11.883726,35400
1.350,1.778531,11.856871,35320
1.375,1.728579,11.523857,34328
1.400,1.930048,12.866986,38329
1.425,1.766445,11.776303,35080
1.450,1.946967,12.979782,38665
1.475,1.797867,11.985778,35704
1.500,1.828483,12.189883,36312
1.525,1.682655,11.217700,33416
1.550,1.899432,12.662882,37721
1.575,1.895404,12.636026,37641
1.600,1.788199,11.921325,35512
1.625,2.168579,14.457191,43066
1.650,2.220142,14.800945,44090
1.675,2.216114,14.774090,44010
1.700,2.441753,16.278355,48491
1.725,2.121849,14.145662,42138
1.750,2.332987,15.553246,46331
1.775,2.126683,14.177891,42234
1.800,2.313651,15.424337,45947
1.825,2.681946,17.879637,53261
1.850,2.588437,17.256245,51404
1.875,2.563461,17.089739,50908
1.900,2.624692,17.497948,52124
1.925,2.722229,18.148195,54061
1.950,2.778627,18.524178,55181
1.975,2.741565,18.277103,54445
2.000,2.814127,18.760845,55886
2.025,1.758389,11.722591,34920
2.050,1.697157,11.314381,33704
2.075,1.557725,10.384832,30935
2.100,1.710904,11.406028,33977
2.125,1.506162,10.041078,29911
2.150,1.537583,10.250553,30535
2.175,1.759245,11.728297,34937
2.200,1.491659,9.944396,29623
2.225,2.123461,14.156404,42170
2.250,2.547398,16.982651,50589
2.275,2.274173,15.161151,45163
2.300,2.258009,15.053391,44842
2.325,2.396635,15.977569,47595
2.350,2.463557,16.423712,48924
2.375,2.407160,16.047731,47804
2.400,2.453889,16.359259,48732
2.425,2.872891,19.152605,57053
2.450,2.822133,18.814222,56045
2.475,2.843886,18.959244,56477
2.500,2.746400,18.309332,54541
2.525,2.806825,18.712170,55741
2.550,2.803602,18.690683,55677
2.575,2.740760,18.271732,54429
2.600,2.802797,18.685312,55661
2.625,2.141991,14.279942,42538
2.650,2.068675,13.791163,41082
2.675,2.088011,13.920074,41466
2.700,1.926825,12.845503,38265
2.725,2.115404,14.102692,42010
2.750,1.954218,13.028122,38809
2.775,1.867205,12.448035,37081
2.800,2.069480,13.796535,41098
2.825,2.370854,15.805692,47083
2.850,2.258814,15.058763,44858
2.875,2.303177,15.354511,45739
2.900,2.378910,15.859403,47243
2.925,2.541708,16.944717,50476
2.950,2.258814,15.058763,44858
2.975,2.359574,15.730494,46859
3.000,2.488533,16.590218,49420
3.025,3.052657,20.351048,60623
3.050,2.749622,18.330816,54605
3.075,2.844692,18.964613,56493
3.100,2.723035,18.153566,54077
3.125,2.953509,19.690058,58654
3.150,2.801991,18.679941,55645
3.175,2.896306,19.308704,57518
3.200,2.832607,18.884045,56253
3.225,0.756681,5.044541,15027
3.250,1.085498,7.236652,21557
3.275,0.987155,6.581033,19604
3.300,1.130616,7.537438,22453
3.325,0.863886,5.759243,17156
3.350,1.134644,7.564293,22533
3.375,0.889668,5.931120,17668
3.400,1.068579,7.123857,21221
3.425,1.082275,7.215168,21493
3.450,1.103223,7.354818,21909
3.475,1.133838,7.558922,22517
3.500,0.992795,6.618631,19716
3.525,0.993600,6.624002,19732
3.550,1.137061,7.580408,22581
3.575,1.020188,6.801251,20260
3.600,1.220851,8.139009,24245
3.625,1.390094,9.267292,27606
3.650,1.348249,8.988327,26775
3.675,1.295830,8.638865,25734
3.700,1.145924,7.639491,22757
3.725,1.414264,9.428427,28086
3.750,1.383699,9.224658,27479
3.775,1.469906,9.799375,29191
3.800,1.260380,8.402533,25030
3.825,1.010520,6.736797,20068
3.850,1.238627,8.257511,24598
3.875,0.981515,6.543435,19492
3.900,1.095972,7.306477,21765
3.925,0.989572,6.597146,19652
3.950,1.084743,7.231617,21542
3.975,0.939620,6.264134,18660
4.000,0.979098,6.527321,19444
4.025,1.199954,7.999695,23830
4.050,1.145118,7.634120,22741
4.075,1.250712,8.338078,24838
4.100,1.166871,7.779140,23173
4.125,1.046020,6.973464,20773
4.150,0.973458,6.489723,19332
4.175,1.307915,8.719432,25974
4.200,1.192703,7.951354,23686
4.225,1.203932,8.026215,23909
4.250,1.311943,8.746287,26054
4.275,1.403035,9.353567,27863
4.300,1.422321,9.482139,28246
4.325,1.266020,8.440131,25142
4.350,1.299052,8.660349,25798
4.375,1.441657,9.611048,28630
4.400,1.259574,8.397161,25014
