Depth(m),Voltage(V),Current(mA),# Counts
0.025,2.316873,15.445822,46011
0.050,2.113792,14.091949,41978
0.075,2.136352,14.242344,42426
0.100,2.208057,14.720378,43850
0.125,2.409576,16.063843,47852
0.150,2.074315,13.828765,41194
0.175,2.222559,14.817059,44138
0.200,2.229004,14.860029,44266
0.225,2.206445,14.709636,43818
0.250,2.125072,14.167147,42202
0.275,2.152465,14.349768,42746
0.300,2.332181,15.547874,46315
0.325,2.184692,14.564614,43386
0.350,2.224976,14.833172,44186
0.375,2.306400,15.375998,45803
0.400,2.374127,15.827512,47148
0.425,2.191943,14.612954,43530
0.450,2.237061,14.913740,44426
0.475,2.361991,15.746608,46907
0.500,2.450616,16.337439,48667
0.525,1.402229,9.348195,27847
0.550,1.193458,7.956390,23701
0.575,1.326445,8.842970,26342
0.600,1.299858,8.665720,25814
0.625,1.178956,7.859709,23413
0.650,1.339336,8.928908,26598
0.675,1.185402,7.902678,23541
0.700,1.132227,7.548180,22485
0.725,1.393367,9.289112,27671
0.750,1.151563,7.677087,22869
0.775,1.314411,8.762737,26103
0.800,1.146729,7.644862,22773
0.825,1.165260,7.768398,23141
0.850,1.414315,9.428763,28087
0.875,1.100856,7.339041,21862
0.900,1.326445,8.842970,26342
0.925,1.211989,8.079926,24069
0.950,1.321662,8.811078,26247
0.975,1.381231,9.208210,27430
1.000,1.261186,8.407904,25046
1.025,1.241849,8.278996,24662
1.050,1.208766,8.058442,24005
1.075,1.009714,6.731426,20052
1.100,1.245072,8.300480,24726
1.125,1.207155,8.047700,23973
1.150,1.378009,9.186724,27366
1.175,1.347393,8.982619,26758
1.200,1.324028,8.826855,26294
1.225,1.283744,8.558297,25494
1.250,1.104834,7.365560,21941
1.275,1.239432,8.262882,24614
1.300,0.892891,5.952605,17732
1.325,1.085498,7.236652,21557
1.350,1.229714,8.198092,24421
1.375,1.202371,8.015808,23878
1.400,1.199904,7.999359,23829
1.425,1.232987,8.219913,24486
1.450,1.078247,7.188312,21413
1.475,1.431989,9.546594,28438
1.500,1.341753,8.945022,26646
1.525,0.771989,5.146594,15331
1.550,0.838910,5.592737,16660
1.575,0.801799,5.345327,15923
1.600,0.662417,4.416114,13155
1.625,0.822747,5.484978,16339
1.650,0.887251,5.915007,17620
1.675,0.822797,5.485313,16340
1.700,0.740568,4.937118,14707
1.725,0.904170,6.027802,17956
1.750,0.780096,5.200641,15492
1.775,0.835688,5.571252,16596
1.800,0.979149,6.527657,19445
1.825,0.861469,5.743129,17108
1.850,0.939620,6.264134,18660
1.875,0.805827,5.372183,16003
1.900,0.951705,6.344701,18900
1.925,0.693033,4.620218,13763
1.950,0.874411,5.829404,17365
