Depth(m),Voltage(V),Current(mA),# Counts
0.025,2.390996,15.939971,47483
0.050,2.307205,15.381369,45819
0.075,2.470808,16.472052,49068
0.100,2.320096,15.467306,46075
0.125,2.346734,15.644893,46604
0.150,2.319290,15.461935,46059
0.175,2.312039,15.413595,45915
0.200,2.332987,15.553246,46331
0.225,2.411188,16.074587,47884
0.250,0.852607,5.684046,16932
0.275,0.885640,5.904265,17588
0.300,0.776823,5.178821,15427
0.325,1.129810,7.532067,22437
0.350,0.874360,5.829069,17364
0.375,0.763177,5.087846,15156
0.400,0.930002,6.200015,18469
0.425,0.991234,6.608225,19685
0.450,0.819574,5.463829,16276
0.475,0.730900,4.872663,14515
