Depth(m),Voltage(V),Current(mA),# Counts
0.025,2.325736,15.504906,46187
0.050,2.368487,15.789914,47036
0.075,2.302422,15.349478,45724
0.100,2.240284,14.935225,44490
0.125,2.059812,13.732081,40906
0.150,2.170240,14.468270,43099
0.175,2.115454,14.103027,42011
0.200,2.267727,15.118180,45035
0.225,2.328203,15.521354,46236
0.250,2.343461,15.623072,46539
0.275,2.204079,14.693857,43771
0.300,2.227443,14.849623,44235
0.325,2.213747,14.758312,43963
0.350,2.140430,14.269534,42507
0.375,2.102513,14.016756,41754
0.400,2.245168,14.967788,44587
0.425,2.266116,15.107438,45003
0.450,2.202467,14.683117,43739
0.475,2.265310,15.102067,44987
0.500,2.074315,13.828765,41194
0.525,2.200806,14.672038,43706
0.550,2.323319,15.488792,46139
0.575,2.229810,14.865400,44282
0.600,2.204079,14.693857,43771
0.625,2.024363,13.495750,40202
0.650,2.138769,14.258457,42474
0.675,2.124266,14.161776,42186
0.700,2.017867,13.452444,40073
0.725,2.150904,14.339362,42715
0.750,2.079954,13.866361,41306
0.775,2.323319,15.488792,46139
0.800,2.037253,13.581688,40458
0.825,1.923603,12.824017,38201
0.850,2.108153,14.054352,41866
0.875,1.938105,12.920698,38489
0.900,1.884930,12.566201,37433
0.925,2.016306,13.442038,40042
0.950,1.983273,13.221821,39386
0.975,1.953413,13.022751,38793
1.000,2.034031,13.560205,40394
1.025,1.675404,11.169359,33272
1.050,1.588391,10.589272,31544
1.075,1.677821,11.185473,33320
1.100,1.560142,10.400947,30983
1.125,1.780998,11.873320,35369
1.150,1.756022,11.706813,34873
1.175,1.858343,12.388952,36905
1.200,1.855926,12.372839,36857
1.225,1.329718,8.864790,26407
1.250,1.394978,9.299855,27703
1.275,1.283744,8.558297,25494
1.300,1.494882,9.965880,29687
1.325,1.380476,9.203174,27415
1.350,1.414315,9.428763,28087
1.375,1.456210,9.708064,28919
1.400,1.408675,9.391165,27975
1.425,1.544079,10.293859,30664
1.450,1.520664,10.137758,30199
1.475,1.374786,9.165240,27302
1.500,1.502184,10.014557,29832
1.525,1.282939,8.552926,25478
1.550,1.533555,10.223697,30455
1.575,1.409480,9.396536,27991
1.600,1.597203,10.648019,31719
1.625,1.526354,10.175693,30312
1.650,1.627869,10.852460,32328
1.675,1.633509,10.890059,32440
1.700,1.761662,11.744411,34985
1.725,1.735880,11.572534,34473
1.750,1.780192,11.867949,35353
1.775,1.472323,9.815488,29239
1.800,1.646400,10.975998,32696
1.825,2.017917,13.452781,40074
1.850,1.941378,12.942519,38554
1.875,1.984884,13.232563,39418
1.900,2.039670,13.597803,40506
1.925,1.902655,12.684368,37785
1.950,1.706020,11.373465,33880
1.975,1.943745,12.958297,38601
2.000,2.021945,13.479636,40154
2.025,1.357867,9.052445,26966
2.050,1.245878,8.305851,24742
2.075,1.104834,7.365560,21941
2.100,1.234598,8.230655,24518
2.125,1.566638,10.444251,31112
2.150,1.385310,9.235400,27511
2.175,1.194314,7.962096,23718
2.200,1.349860,8.999070,26807
2.225,1.700430,11.336202,33769
2.250,1.851897,12.345984,36777
2.275,1.654456,11.029710,32856
2.300,1.772941,11.819608,35209
2.325,1.863983,12.426551,37017
2.350,1.846258,12.308385,36665
2.375,1.826921,12.179477,36281
2.400,1.774552,11.830350,35241
2.425,2.108153,14.054352,41866
2.450,2.108958,14.059723,41882
2.475,2.092039,13.946929,41546
2.500,2.022751,13.485007,40170
2.525,2.124266,14.161776,42186
2.550,2.003415,13.356099,39786
2.575,1.942989,12.953261,38586
2.600,2.154932,14.366218,42795
2.625,1.643177,10.954513,32632
2.650,1.784221,11.894804,35433
2.675,1.630236,10.868239,32375
2.700,1.443319,9.622126,28663
2.725,1.549668,10.331120,30775
2.750,1.579478,10.529855,31367
2.775,1.536777,10.245181,30519
2.800,1.393367,9.289112,27671
2.825,1.806729,12.044862,35880
2.850,1.701991,11.346609,33800
2.875,1.768107,11.787380,35113
2.900,1.767301,11.782009,35097
2.925,1.721327,11.475516,34184
2.950,1.713321,11.422140,34025
2.975,1.767301,11.782009,35097
3.000,1.879290,12.528603,37321
3.025,2.124266,14.161776,42186
3.050,2.117821,14.118807,42058
3.075,1.950996,13.006639,38745
3.100,2.028341,13.522270,40281
3.125,2.131517,14.210115,42330
3.150,2.021945,13.479636,40154
3.175,2.129956,14.199710,42299
3.200,2.105736,14.038239,41818
3.225,1.045214,6.968094,20757
3.250,0.875166,5.834440,17380
3.275,0.963841,6.425605,19141
3.300,0.801849,5.345663,15924
3.325,0.739762,4.931746,14691
3.350,1.018576,6.790509,20228
3.375,0.979149,6.527657,19445
3.400,0.925168,6.167788,18373
3.425,1.034740,6.898267,20549
3.450,0.988011,6.586740,19621
3.475,1.030712,6.871412,20469
3.500,0.683415,4.556099,13572
3.525,0.804266,5.361776,15972
3.550,1.004125,6.694163,19941
3.575,1.097583,7.317219,21797
3.600,1.108913,7.392752,22022
3.625,1.086354,7.242358,21574
3.650,1.240238,8.268253,24630
3.675,1.183035,7.886899,23494
3.700,1.196731,7.978209,23766
3.725,1.120142,7.467612,22245
3.750,1.089576,7.263844,21638
3.775,1.035546,6.903639,20565
3.800,1.027489,6.849927,20405
3.825,0.954173,6.361150,18949
3.850,0.884884,5.899230,17573
3.875,0.860664,5.737758,17092
3.900,0.880000,5.866667,17476
3.925,0.908199,6.054658,18036
3.950,0.738151,4.921004,14659
3.975,0.936448,6.242985,18597
4.000,0.859858,5.732387,17076
4.025,1.060522,7.070146,21061
4.050,1.145924,7.639491,22757
4.075,1.031518,6.876783,20485
4.100,1.025072,6.833814,20357
4.125,1.102467,7.349782,21894
4.150,1.025072,6.833814,20357
4.175,1.054076,7.027176,20933
4.200,0.922701,6.151339,18324
4.225,1.033129,6.887526,20517
4.250,1.208817,8.058778,24006
4.275,1.083887,7.225910,21525
4.300,1.032323,6.882154,20501
4.325,1.041186,6.941238,20677
4.350,1.004930,6.699535,19957
4.375,1.036352,6.909010,20581
4.400,1.129860,7.532403,22438
